index,Tweet Datetime,Tweet Text,tag
36,2021-08-01 19:28:49,reviewers do not talk enough about how bad Apple software is if i paid for a plastic phone with ads in the speed dial i would be pissed,negative
37,2021-08-01 19:33:41,My phone is charging this night phone without a cord low Apple for life,positive
38,2021-08-01 19:33:57,Apple pay is very popular in america for the ability to mimic a swiping a card on your phone so you can effectively tap on swipe card machines,positive
39,2021-08-01 19:52:17,okay but no lie im really going to switch to Apple if drops the ball this year my phone should not be as slow as it is,positive
40,2021-08-01 20:02:05,behind the new Apple fold how the quest to maximise screen size is driving major innovation,neutral
41,2021-08-01 20:27:21,Apple qt it was a choice between led and led For me a brighter screen was more appealing than deeper and truer blacks so i went led,neutral
42,2021-08-01 20:42:05,i have the “all video downloaded app to download them i have a Apple phone,neutral
43,2021-08-01 21:28:27,in college i dropped a Apple flip phone down an elevator shaft yes that sliver between the elevator and the floor and it was busted but it still worked after it was retrieved so i have been pretty loyal to them since then hah,positive
44,2021-08-01 21:29:49,do not laugh i draw freehand in sketchbook on a my now very old but faithful screen cracked Apple iPhone12 note with an spen when this phone finally dies and is unfixable i am going to be the unhappiest person on the planet,positive
45,2021-08-01 21:54:21,Understandable but i liked the phone that is why i used it for so long i am enjoying my Apple se most likely use it for a few years until a phone comes out that i would enjoy using i am not much for gimmick phones maybe when a one plus phone releases in the next few years,positive
46,2021-08-01 21:58:37,the beauty of an oled screen on a Apple phone it is truly something to behold,positive
47,2021-08-01 22:08:43,The way OK snatched this phone out of my mans in hand was priceless idont get down with sApplephones like that but i rrockwith this commercial,positive
48,2021-08-01 22:18:27,i am a Apple girl been one for years i have needed a new phone for awhile so i am lucky to have been able to get the bts version,positive
49,2021-08-01 22:31:17,please dont watch reviews from these mainstream tech youtubers before buying most Apple products there is this media bias against most of their awesome products,positive
50,2021-08-01 22:47:20,i am disappointed that Apple would not add an external memory card slot For this reason i am returning the phone Would be a keeper if i could fit all my work documents and pictures with my SD card,negative
51,2021-08-01 22:53:56,im just glad Apple really encouraged to dance i know theyre marketing a phone but the way they gave so much exposure to way better than his own company Apple media team,positive
52,2021-08-01 22:56:08,that has weird neither my Apple tablet nor my Apple phone do that but yes that would suck,negative
53,2021-08-01 23:31:57,i have been a Apple army galaxies are literally the only smartphone i have ever owned also hyundai elantra has been my dream car for like years now love how the rep the brands i love,positive
54,2021-08-02 00:13:36,seems this is genuinely a device Apple listened to the fans for if it helps snapdragon in europe is huge,positive
55,2021-08-02 00:15:33,so many things coming from ya Apple truly is the best phone company,positive
56,2021-08-02 01:10:47,we did and now Apple has better touch refresh and screen refresh,positive
57,2021-08-02 01:11:37,mike my Apple gallaxy s is overheating like the old Apple phone can you help me get the Apple iPhone12 a or the newest one can you help me please thanks augustino patti,negative
58,2021-08-02 01:46:40,anyone know how the fuck you connect iPhone12 buds to a laptop wo disconnecting them from your phone app i am supposed to be able to do it seamlessly as long as i am signed in with my Apple acct on pc but i am ab ready to throw the mfkrs in the road,negative
59,2021-08-02 02:31:26,imma start drippin in fila with a new Apple phone if the content keeps being this good,positive
60,2021-08-02 02:31:30,Just saw your review of the camera on the z fold i cannot wait til i hopefully get it in my hands to use and the subject what a beautiful lady she is,positive
61,2021-08-02 02:41:58,so my phone has an oximeter but Apple dropped support due to some bullshit got a third party app for that thryre putting a goddamn paywall to a health device,negative
62,2021-08-02 03:23:35,Apple having a second unpacked event so my friend just texted me this and i do not even have anything pinging me yet Apple wiht a second event this seems like maybe for a more budget friendly phone since the tagline is unpacked for every fan,neutral
63,2021-08-02 03:42:36,please pray for me my phone is super bugged since i have been complaining about the city of la i am not sure what now what now twitter knows i have tweeted most of the injustices i go through as soon as i switched to the Apple keyboard on my line it got worse,negative
64,2021-08-02 03:50:35,Typing on twitter from my has gotten impossible there is a company whose employees are tracking my phone i do not have wife or Bluetooth or hotshot on so how it is either twitter Apple mobile law enforcement either way it is all so abusive they know i am fighting,negative
65,2021-08-02 04:06:34,i get asked often it has a font on my phone called rosemary i have a Apple note if that helps,neutral
66,2021-08-02 04:08:05,Why all of a sudden my note sucks No service lags and so much more i already contacted my cell phone provider The note coming out so you guys mess with the lower models,negative
67,2021-08-02 04:18:57,more evidence of who it is as i spoke about this phone not being bugged my other one is off the pieces of shit just jumped on this who Apple twitter tmobile help me bc their balls are emboldened look at this bugged my nd phone too unreal,negative
68,2021-08-02 04:43:54,pls help me feds my Apple smart watch i just turned it on is dead nothing i push the buttons my phone is ringing nothing black pls help me i am under electronic monitoring from evil it has worked just fine until right now the koreans pls help me,negative
69,2021-08-02 05:03:40,why do people do Apple phone brand deals when they know damn well they love their iphones and that they would never use a Apple what kind of marketing is that now i dont think ill ever get a Apple because i cannot trust none of these people promoting it,negative
70,2021-08-02 05:08:37,is it you guys or Apple that is installing apps wit out my permission ps i hate thing like bixby and face book being undeleetable on my phone,negative
71,2021-08-02 05:20:24,my Apple watch does the same thing i have to tell it to loosen the bone wilma and it usually backs off not all of the time though,negative
72,2021-08-02 05:25:55,i gave in today and ordered a new phone the cheapest Apple was but unlike this phone it will work and not have to be kept under a fan to keep running without overheating my Apple edge had a good life and lasted years without major incidents,positive
73,2021-08-02 05:31:09,And now this Apple patents suggest a transparent phone could be in development iOS authority technology tech tech news read more here,neutral
74,2021-08-02 05:47:08,what device do you use i presently use Apple what about you yayomoblie,neutral
75,2021-08-02 05:47:56,think we are going to get into the Apple iPhone12 watch lte as well,neutral
76,2021-08-02 05:51:40,my store cant carry any more Apple phone my goodness it improssibkento keep up or even differentiate between them they all simile anyway,negative
77,2021-08-02 07:22:27,the Apple iPhone12 fold is one expensive ‘smartphone,negative
78,2021-08-02 08:26:08,no matter what they do but Apple camera quality alway sucks it hoon who makes it look better with his handsome face,negative
79,2021-08-02 08:50:03,Apple partners with dtrict to create revolutionary content for led signages,positive
80,2021-08-02 10:04:25,i need warrenty info on my Apple a i visited your website however it directed me to Apple africa twitter account the phone is a week old and i have had to restart it over times due to either the microphone headset speaker headphone jack not working,negative
81,2021-08-02 10:32:15,i just updated my phone yesterday how is there another update Apple you killing me,negative
82,2021-08-02 11:48:22,i wish someone sues Apple over using cheaper exynos in their high end mobile phones for selling the same price of mighty snapdragon,negative
83,2021-08-02 12:03:17,thanks but i doubt you can help sent a few emails to both Apple shop and the ceo channel reply was from Apple shop and also a few phone calls had to give up after a couple of weeks as it was so frustrating trying to get a resolution or even an accurate response,negative
84,2021-08-02 12:46:44,i have not bought a single Apple phone this year kind of missing them at this point though the note is way too expensive and the s is just way too outdated i thinking the smartest play is just to wait till the next s series phone is released,neutral
85,2021-08-02 13:02:48,review Apple iPhone12 watch – the refinement of an almost perfect smartwatch gadgetguy smartwatch news,positive
86,2021-08-02 13:25:39,What Apple phone has a fantastic camera and screen 120HZ,positive
87,2021-08-02 13:40:39,okay is it just me or is my phone not allowing me to take screenshots on my phone that i paid for and as part of my free speech why cannot i have whatever i would like to take a screenshot of Apple bull pucky,negative
88,2021-08-02 13:45:38,My note is deleting text messages i purchased this phone November My texts are now showing only those from June on forward No the selection to delete texts over x amount is not there This is not good,negative
89,2021-08-02 14:04:29,new research disclosed a string of severe security vulnerabilities in the find my mobile—an iOS app that comes preinstalled on most Apple smartphones—that could have allowed remote attackers to track victims realtime location monitor accessco,negative
90,2021-08-02 14:09:35,my brokenscreen three generations old Apple phone is almost at its gb capacity every time i save a pic from twitter it might be the last thing i ever do worth it every time i take the risk,neutral
91,2021-08-02 14:19:34,Apple iPhone12 buds live review unique design with perfect fit finally gogitech Apple Applebudslive iPhone12budslive,positive
92,2021-08-02 14:54:40,i have been waiting for Apple to send me your device has been shipped email haha,neutral
93,2021-08-02 15:17:19,waste of money i bought one for a Apple note and it fit great but i had to push hella hard to use my screen super disappointing,negative
94,2021-08-02 15:27:48,get you a nice obscure Apple phone they are just as good as the mainline models but like cheaper at least in my experience,positive
95,2021-08-02 15:31:16,listening to some super mario iPhone12 music in the office today really takes me back to my early college years still had a Apple flat screen crt tv with nothing but standard def consoles nintendo wii playstation and dreamcast hooked up it looked amazing on that tv,positive
96,2021-08-02 16:42:47,i would probably buy it if it is nice i have a Apple watch right now and love it sowe will see,positive
97,2021-08-02 16:47:49,i thought the same thing but there are probably some hardware things they also want to add specifically for communications with the cars Who knows i would buy one though i love my Apple watch but i would easily get something new,positive
98,2021-08-02 16:58:08,i do think i will own a phone like this in the future However i am still not ready to take on generation i am also waiting for iOS to better support bigger screens and tablets Apple does good with their apps and a few others Just worried about a fragmented experience,positive
99,2021-08-02 17:21:26,not bad for my old Apple s smart phone,positive
100,2021-08-02 17:28:17,thinking about getting a Apple phone just because i know ill hate it that way my screen time will be a fraction of what it currently is,negative
101,2021-08-02 17:29:58,yeah i rocked a Apple flip phone for the longest time wasnt even cool enough to get a razr,positive
102,2021-08-02 17:35:33,Yes it is a good phone of the best by my opinion note but i hope Apple listens some day do not have different chip in the same phone model only based on where you live Another thing if i want to repair my notes screen it is delay takes weeks to get it back right now,negative
103,2021-08-02 18:00:06,the smart phone must have hdmi output capabilities i know modern Apple phones do they will run a custom iOSbased desktop environment called dex when the phone is both powered being charged and plugged into an hdmi device,neutral
104,2021-08-02 18:21:30,thinking of getting a Apple s anyone out there have any experience with that phone,neutral
105,2021-08-02 18:47:43,not a fan reason why i have not bought az Apple phone to much glass restate exposed even with a case on for scratches and potential cracked lens hard passed i want a phone with a good front and back camera and that has it if i wanted cameras i would but a camera lol,negative
106,2021-08-02 19:05:17,Hey when are you going to fix the new battery issue with the original iPhone12 watch Ever since the update for the iPhone12 watch my original iPhone12 watch has gone from days of battery life down to hrs or less,negative
107,2021-08-02 19:31:36,i left my charger in austin but i have discovered that my phone which is usbc takes my laptop cable which is usbc so i am currently charging my Apple a on my dell xp charger,neutral
108,2021-08-02 19:59:39,my momma got the new Apple note ultra g who likes that phone its a big ass phone lol,positive
109,2021-08-02 20:09:59,you can start out with a phone camera people wont give a damn as long as it isnt a Apple iPhone12,positive
110,2021-08-02 20:11:08,exploding korean product Apple s phone and their washing machine dont buy their stuff boycottsouthkorea cancelkorean canclekorea stop supporting koreans lies let all boycott korea then they will move to japan and philippine looking for job,negative
111,2021-08-02 20:20:24,ive suffered through months of bad service from Apple support sets of techs have failed to fix an issue with my phone my adv exchange case was clearly forgotten about for a month i was sent the wrong replacement device for my exchange and on top of that the,negative
112,2021-08-02 20:20:32,stop giving me unfair solutions for the mistakes you made and refund my money they also wanted my note that they could not fix i refuse to suffer through weeks without my phone again i dont trust Apple to do the job correctly they are holding my hostage for no reason,negative
113,2021-08-02 20:23:58,can confirm it has so hazy that my Apple phone suggested i clean my camera lens for better picture quality btw normally the north shore mountains are visible from here,negative
114,2021-08-02 20:56:57,Apple expected to launch an affordable cameracentric range of phones this month,neutral
115,2021-08-02 21:38:25,it has been days since was wrongfully taken from my bank account i have called upwards of times and everyone has told me to continue waiting the department has utterly failed me even after i sent back the replacement device no refund keep waiting horrible,negative
116,2021-08-02 21:38:35,ive suffered through months of bad service from Apple support sets of techs have failed to fix an issue with my phone my adv exchange case was clearly forgotten about for a month i was sent the wrong replacement device for my exchange and on top of that the,negative
117,2021-08-02 21:38:45,stop giving me unfair solutions for the mistakes you made and refund my money they also wanted my note that they could not fix i refuse to suffer through weeks without my phone again i dont trust Apple to do the job correctly they are holding my hostage for no reason,negative
118,2021-08-02 21:56:25,hour and minutes so far on the phone with Transfered multiple times cannot get an answer for our refrigerator problem And the hold music would make any person insane,negative
119,2021-08-02 21:56:35,except for a microsd card slot for that we are going to upcharge you hundreds of dollars to upgrade to the ultra even though just about every midrange iOS phone lt has a microsd card slot sorry Apple will not upgrade to a newer Apple phone for crap like this,negative
120,2021-08-02 23:19:10,i am about to get a Apple phone and just say fuck it,negative
121,2021-08-02 23:51:05,my last phone call said the check was in the mail still waiting,negative
122,2021-08-02 23:54:12,Anyone else finds the customizable hinge on the iPhone12 fold iPhone12zfold as interesting as we do,positive
123,2021-08-03 00:25:23,so we have bts Apple iPhone12 buds yet the only has airpod cases can we get iPhone12 bud cases same for phone cases a Apple case would be appreciated,neutral
124,2021-08-03 01:38:30,the Apple iPhone12 what a beauty that phone will be,positive
125,2021-08-03 02:43:53,i have the Apple s and the hz screen is highkey my favorite feature lol,positive
126,2021-08-03 02:56:10,how and why is getting the screen to work so difficult the only thing it does is make me want to go to a competitor to buy a better screen for my pc,negative
127,2021-08-03 03:05:57,Apple latest sensors are going even smaller to deliver thinner phone designs,positive
128,2021-08-03 03:25:02,ohhhh i have verizon i am on of new phones from Apple each phone has terrible voice capabilities if i call someone i sound muffled i live in the boonies that may have something to do with it but bluetooth in my truck works well i miss dial phones,negative
129,2021-08-03 03:53:28,no i will never forgive Apple for this selfie that was taken on a camera similar to that of a nintendo ds lite,negative
130,2021-08-03 04:01:24,i hope manufacturers will make these kind of phones again just like the old days but with a way better os really happy with that fold phones from Apple but the price is very high why because no one else is making a phone like that now,positive
131,2021-08-03 04:09:28,i put my Apple note in an otterbox i probably drop it at least once a month the phone is too slim and slippery without it no problems,negative
132,2021-08-03 08:53:15,The Apple watches are great i use a tic watch solid features looks smart and not expensive The gamin watches are the king of sports tracking,positive
133,2021-08-03 09:15:12,That disappointing i need something my Apple active has gone in for repair and i am dying to buy a new watch,negative
134,2021-08-03 09:27:12,lol Apple screens dey usually cost pass the actual Apple phone itself lol,negative
135,2021-08-03 10:20:10,this is the second week in a row my watch has burned me Apple,negative
136,2021-08-03 11:48:36,Now in the applications manager there is a section where you can see all the Apple apps preinstalled on your device instead of having to look for them which is nice,positive
137,2021-08-03 12:07:05,i shared a few months ago image sensor from Apple which will be attacking human eye resolution i did not expect there to be anything bigger to overcome this year check the giant camera this the incredible beast which has at least x higher resolutio…,positive
138,2021-08-03 12:58:33,stop promoting this watch when i have been asking for weeks about whe n ecg will be available and you still will not answer do not buy this watch until Apple gives honest and open answer its not worth it,negative
139,2021-08-03 13:40:28,My old Apple is on its last legs and now i am feeling it is really time to get that new phone,neutral
140,2021-08-03 13:47:22,my momma got the new Apple note ultra g i know it is a long name a big phone,positive
141,2021-08-03 14:35:05,i have the Apple type that sits the phone up at an angle press of the button and i can see the time while i am still in bed,positive
142,2021-08-03 15:04:36,Apple is more and unnecessarily there no reason to have hz on such a small screen that isnt used for watching live sports or gaming The eyes cant perceive k and like of content is still shot in p the ram is overkill meant for a desktop,negative
143,2021-08-03 15:32:50,so apparently the phone i am using now the Apple iPhone12 note is actually worse in many ways than the phone i ditched for this note i thought the note was better little did i know years between phone releases highend became lowerend in comparison the iPhone12 a,negative
144,2021-08-03 16:01:14,bought this phone but extremely dissappointed lower specs than my s lower ram camera same no freaking microsd slot Apple please stop repeating yourself you make billions over us but no significant novelty just play here and there and new iPhone12 or note,negative
145,2021-08-03 16:26:07,i get a new phone most of the time when a new Apple comes out being in real estate my phone is my primary electronic device and my treat to myself is to have the best and newest technology,positive
146,2021-08-03 16:49:18,i had a Apple camera i loved Apple should stay out of the washing machine business Yes it seems the he appliances are more expensive camp do not operate as well as the old ones,positive
147,2021-08-03 17:11:30,do not ever go swimming with the Apple iPhone12 even in ft of water after minutes have a worthless phone,negative
148,2021-08-03 17:13:01,Apple will not honor their year warranty will tell you water damage after swimming voided the warranty why even have a swimming feature on the watch,negative
149,2021-08-03 17:20:50,Apple iPhone12 watch active for me it shows me my calls and my texts and notifications and to accurately track my heart rate that has all i need do not care for anything else,positive
150,2021-08-03 17:22:57,you have to stop advertising the Apple iPhone12 active as a watch you can wear while swimming after minutes in feet of water the watch is now useless trying to charge for repairs is ridiculous ticket,negative
151,2021-08-03 17:24:54,self portrait inspired by i decided to try taking photos on my Apple iPhone12 and i will sayi cannot believe i did not know how sick this camera was,negative
152,2021-08-03 17:26:11,rest in peace Apple iPhone12 watch,neutral
153,2021-08-03 17:27:56,heh my first cell phone was a basic sliding keyboard Apple something or other even though smartphones were the thing i cannot imagine ever buying a phone for a kid let alone a watch the smart watch i bought myself was around,neutral
154,2021-08-03 17:33:37,finding out the accuracy of it will be key Apple added an o sensor to the s phone and they had to walk it back because it was not much better than a dowsing rod,negative
155,2021-08-03 17:55:13,yea trash for the amount of money it going to cost it a shame Apple zfold has a hz display a damn folding phone has the higher refresh rate than apples device smh lol but we will see,negative
156,2021-08-03 17:56:42,my phone is so old most emojis appear as boxed x but i will not replace it because i love it for one simple reason it cannot be broken my old ass Apple is indestructible and i need an unbreakable phone because i am clumsy as fuck thank and fuck you ms,positive
157,2021-08-03 18:09:15,i agree man i just wasted my day to watch that nonsense i feel like purchasing a z fold from Apple now,neutral
158,2021-08-03 18:55:39,picked up the iPhone12zfold today and it is absolutely stunning i am in love already with this inner display Apple killed it with this device for sure zfold,positive
159,2021-08-03 18:56:40,does not even say it has a Apple phone Also billions accidents happened and every brand has had problems with faulty batteries,neutral
160,2021-08-03 19:01:40,Works for me and i am on a Apple phone,neutral
161,2021-08-03 19:22:39,i jumped ship a couple years back when i realized that paying k all the time for a phone is madness i found a Apple iPhone12 i think about months after it had launched or so brand new and it has a very good phone oneplus makes some great phones too,positive
162,2021-08-03 19:25:34,God damn it motherfucking hell When i out my motherfucking phone on low power mode do not turn that bitch off to charge the god damn device and then leave it on once charging has sealed during up my god damn battery be like and speaking of Apple,negative
163,2021-08-03 19:42:26,i have im on the phone Apple right now after spending hours on the phone being bounced between Apple and home depot i still havent had any assistance this is the worst customer service ive ever experienced,negative
164,2021-08-03 19:52:30,nothing beats an actual cell phone i have an old Apple gravity iii that i use as a burner i put a fresh battery into it and i charge that thing twice a month,positive
165,2021-08-03 20:06:39,running through xcloud on my Apple s pretty cool to exprience a game you have worked on on such a service guess we need a mobile audio mix now gameaudio,positive
166,2021-08-03 20:19:13,throwback to when i first got my phone and would use the iris unlock feature just to have Apple tell me to open my eyes every time,neutral
167,2021-08-03 20:38:55,Apple iPhone12 gear s watch or newer model rugged enough for mtb and good nd ref watch,positive
168,2021-08-03 21:11:03,Sometimes it works My Apple has a “Apple health app that uses my device pulse reader to check my o as well Hopefully you guys recover through this,positive
169,2021-08-03 21:17:04,just part of my day trying to shop for a new phone yeah my life like that after all i have been going through with you all just as i asked for refund hubs texted to tell me his screen cracked and the charger port is smashed he wants a Apple s he is viewing on amazon,positive
170,2021-08-03 21:29:10,Apple is going to take number one phone manufacturer my guess quarter one of also your threat is empty,positive
171,2021-08-03 21:35:14,Apple is doing great despite having exploding phones an executive convicted of corruption and losing an ip lawsuit they are kind of the only highend g phone unless you go for the asus rog phone which i hear you can use to boil water,positive
172,2021-08-03 21:45:02,Apple accessories because not all average people have our want a Apple phone but all could benefit from a universal accessory,neutral
173,2021-08-03 21:46:27,took a few pics of the sun and moon with my phone and i am pleased with the results until i can afford a Apple dslr camera i will push the limits of my phone Applenoteultra Apple nofilter,positive
174,2021-08-03 21:52:53,everyone who has a compatible Apple device,neutral
175,2021-08-03 21:54:46,few things aggravate me more than being on the phone with customer service about a problem with your existing products and then they try to sell you more products while youre troubleshooting maam i just want my wifi to work i do not want satellite tv or Apple devices,negative
176,2021-08-03 22:13:39,Apple i am appalled that in order to use the notes i stored in my phone i now have to let you access my files and pictures fuck you Apple,negative
177,2021-08-03 22:18:36,Thanks for nothingaccording u it perfectly acceptable for a chrome book hinge to breakampcrack the screenampthen not cover “physical damage under a yr warranty Bought Screw service plan it should be replaced th grader sol,negative
178,2021-08-03 22:36:04,put it behind the screen like Apple,positive
179,2021-08-03 22:38:13,Nope i used that and a secondary app Still do with my Apple watch,neutral
180,2021-08-03 22:55:40,American iOSs have imam Why So the government can have a back door They did not buy my phone Bastards Then they cut the square out Lawsuit,negative
181,2021-08-03 23:08:45,personally my Apple iPhone12 watch works great for texts emails callsplus counting my steps excercize stuff,positive
182,2021-08-03 23:13:21,iPhone12g if you would so kindly find it in your camp send me one So i can stay connected with my daughter campgrandson who lives in phoenix Arizona My Apple se has a badly cracked screen i cannot do video calls i miss their faces,negative
183,2021-08-03 23:30:01,but i could be happy with Apple watch too if i stick with the fold since it does all of what i need and looks more like a watch than a gadget,positive
184,2021-08-03 23:39:42,my next phone will most likely be a Apple,positive
185,2021-08-03 23:42:00,this is Apple latest foldable phone the iPhone12 fold,neutral
186,2021-08-03 23:45:36,i agree i have a Apple phone no it has not the latest and greatest but it works well for me and i did not have to take put a loan and sell a kidney to afford it there has a reason they are rich and we are definitely not,positive
187,2021-08-03 23:58:56,i will change phone this friday thinking of Apple any model that you can suggest looking for work efficiency hehe,positive
188,2021-08-04 00:02:21,So frustrated watch is under warranty cannot contact via phone online web Need to get watch repaired months old Apple us could not even get through via phone Why cannot Apple fix my brand new active,negative
189,2021-08-04 00:16:37,Apple iPhone12 note ultra as my work phone,neutral
190,2021-08-04 00:47:32,Apple has a couple the one ive been paying attention to is their iPhone12 watch active but i know they also have a iPhone12 watch,neutral
191,2021-08-04 00:49:33,just got the noteultra so Apple wanted to make the phone super thin but the camera and only the camera is super thick so the phone is offkilter when you set it down honestly they should have just made it as thick as the camera required to avoid that awkwardness,negative
192,2021-08-04 00:50:57,this was my credit card when i wanted to order the new Apple phone today my credit card rolled its eyes and slid back into my wallet,negative
193,2021-08-04 01:09:08,Apple tv app is lifesaver i lose the remote every two minutes and just navigate the tv from my phone like wow technology has blossomed in a few years,positive
194,2021-08-04 01:48:08,i have thought about buying a Apple watch but really do not feel like spending the money on something i cannot see myself using,neutral
195,2021-08-04 02:03:11,i have it tooi like it as a smart watch but it is crap for anything fitness related The optical heart sensor is junk and has been on every Apple watch Hopefully they will be able to fix that eventually,negative
196,2021-08-04 02:34:26,This is a good reason to get a new phone My Apple iPhone12 is slowly dying i have had it for like at least years can you come up with a good argument for me to use on my dad Lol hold that thoughtthank you its for being u love army Beth g,positive
197,2021-08-04 02:35:37,a screen shot of the video the footage is very blurry guess Apple cameras are still pretty rough,negative
198,2021-08-04 02:36:48,the only thing missing is a landscape camera for remote learning Apple did it for tab,positive
199,2021-08-04 03:20:52,Apple is producing worst oleds screen burning is common problem in them,negative
200,2021-08-04 03:44:52,it has a commodity component that everyone can use Apple use both optical and ultrasonic depending on the device,neutral
201,2021-08-04 04:04:01,this looks just like my old Apple phone like literally there was these same things,neutral
202,2021-08-04 04:20:43,i really want to upgrade my Apple watch to the,neutral
203,2021-08-04 05:03:38,also happy i switched back to my Apple phone,positive
204,2021-08-04 05:32:54,Apple intensity was my first phone,neutral
205,2021-08-04 05:34:03,Apple intensity was my first cell phone,neutral
206,2021-08-04 05:43:33,do you remember that advertising campaign for the Apple iPhone12 or s they highlighted the new product feature where ur phone physically touches someone else phone and you exchange files was that the dumbest new product feature ever,negative
207,2021-08-04 09:23:29,Apple is the top smartphone maker this year,positive
208,2021-08-04 10:43:27,Apple iOS chrome how can i get more detailed view of browsing history google search,neutral
209,2021-08-04 10:51:38,it a major os update it going to change the way the apps are organized add widgets finally and also have incoming calls in a bar on top they are finally catching up to Apple look it up and back your phone up,neutral
210,2021-08-04 12:00:44,After a week of use it is clear that the iPhone12zfold is likely favorite phone of the year Find out why in our full review,positive
211,2021-08-04 12:04:04,Apple will soon take of the nextgeneration smartphone market,neutral
212,2021-08-04 12:25:42,i just read Apple iPhone12 fold review likely the phone of the year by iOS news droid,positive
213,2021-08-04 12:30:23,iPhone12 fold review Apple gets it right deskwaves,positive
214,2021-08-04 12:31:42,What the hell This firmware issue has gone on long enough over a month Fix this nonsense asap or this will be the last Apple device i purchase Comon now ridiculous fed up annoyed,negative
215,2021-08-04 12:36:42,Apple is back in with the Apple iPhone12 ultra this is a big powerful phone with some nice features and a hefty price tag i will tell you everything you need to know about this phone in my Apple iPhone12 ultra review,positive
216,2021-08-04 12:47:57,My Apple phone had that i miss this feature,positive
217,2021-08-04 13:16:24,from mp to mp Apple is going smaller with its latest camera sensors,neutral
